,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
35,You Really Got Me,The Kinks,spotify:track:4CZn7RvBSLun4ropg0UNZV,0.571,0.908,-8.208,0.0907,0.412,1.19e-06,0.0802,0.958,137.43
36,Crazy In Love (feat. Jay-Z),Beyoncé,spotify:track:5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165
37,Seven Nation Army,The White Stripes,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,-7.62,0.0864,0.00666,0.35,0.272,0.303,123.889
38,Losing My Religion,R.E.M.,spotify:track:74EV0g12ihUoOUXMprFpZB,0.672,0.841,-5.992,0.0285,0.0767,0.0,0.135,0.82,125.437
39,God Save The Queen,Sex Pistols,spotify:track:2mHchPRtQWet3iIS3jANr1,0.304,0.901,-7.756,0.0602,0.00105,0.000376,0.158,0.541,147.199
40,Bohemian Rhapsody - Remastered 2011,Queen,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105
41,Blue Monday,New Order,spotify:track:6tzeMSH4TRGBTzdNvbF5hr,0.757,0.758,-7.873,0.0512,0.00708,0.831,0.112,0.918,130.505
42,Purple Haze,Jimi Hendrix,spotify:track:0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9
43,Louie Louie,The Kingsmen,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,0.623,0.709,-9.818,0.0636,0.102,0.0,0.0967,0.948,122.394
44,I Want You Back,The Jackson 5,spotify:track:3b0EOvScbZUc0qJx0E1L2z,0.639,0.548,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359
45,Crazy,Gnarls Barkley,spotify:track:1vxw6aYJls2oq3gW0DujAo,0.855,0.587,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97
46,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,spotify:track:3no0tiiQldD3LnsxwVtnnk,0.357,0.389,-9.702,0.0269,0.569,0.0,0.099,0.324,94.211
47,Hey Jude - Remastered,The Beatles,spotify:track:0eY0YgyLAZ4gtM57wwYN7H,0.394,0.566,-9.435,0.0261,0.0304,3.64e-05,0.101,0.631,148.029
48,Waterloo Sunset - Stereo,The Kinks,spotify:track:784WsZD4irVO0PA5NCZbTi,0.517,0.692,-7.273,0.0246,0.253,0.0,0.172,0.476,107.958
49,Take Me Out,Franz Ferdinand,spotify:track:7kw6yVmdZGuRcWGi4adXYT,0.273,0.665,-8.795,0.0382,0.000458,0.000893,0.117,0.514,104.656
50,Get Ur Freak On,Missy Elliott,spotify:track:13KEdaWIc7T6ozEmnJjHy1,0.78,0.787,-6.653,0.209,0.533,0.134,0.122,0.668,177.835
51,That'll Be the Day,Buddy Holly & The Crickets,spotify:track:0AeYLiUH4QIEp7I8yrXyUo,0.654,0.523,-8.053,0.0349,0.8,0.0,0.285,0.851,126.819
52,Light My Fire,The Doors,spotify:track:5uvosCdMlFdTXhoazkTI5R,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618
53,I Feel Love,Donna Summer,spotify:track:2WzEWQN3dI5rQSYH1y4FLM,0.639,0.659,-16.098,0.0491,0.0166,0.633,0.116,0.92,126.436
54,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,spotify:track:0WQiDwKJclirSYG9v5tayI,0.523,0.769,-5.855,0.0269,0.04,0.0,0.136,0.876,136.162
55,Space Oddity - 2009 Remastered Version,David Bowie,spotify:track:3sb66av9ZpdI1JmPDHVa18,0.337,0.365,-15.091,0.0318,0.0788,3.84e-05,0.202,0.497,136.264
56,Stand by Me,Ben E. King,spotify:track:7jmHyHMEqm9MJWiMAneF05,0.632,0.232,-12.326,0.0318,0.428,4.95e-06,0.215,0.673,119.136
57,Mr. Tambourine Man,The Byrds,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,0.456,0.47,-9.564,0.0294,0.513,3.76e-05,0.444,0.639,120.336
58,Bitter Sweet Symphony,The Verve,spotify:track:5yEPxDjbbzUzyauGtnmVEC,0.389,0.889,-6.546,0.0442,0.0415,0.0,0.463,0.524,171.121
59,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,spotify:track:7oDq6PidL34An1VqTQUd5o,0.77,0.812,-9.013,0.145,0.384,2.34e-06,0.122,0.897,90.984
60,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,spotify:track:5kmbjtL6Q6zkATdc02JJHv,0.404,0.903,-3.88,0.0668,0.577,0.297,0.287,0.498,115.672
61,River Deep - Mountain High,Ike & Tina Turner,spotify:track:4psjgB5e5HIuUeSVbEUY64,0.324,0.641,-11.12,0.0451,0.189,8.47e-05,0.109,0.308,83.901
62,Unfinished Sympathy - 2006 Digital Remaster,Massive Attack,spotify:track:7cFfFVVubc4K5qB0jGyguY,0.592,0.891,-5.637,0.0316,0.0145,0.141,0.394,0.717,114.348
63,Loser,Beck,spotify:track:4b8GTae6rqb9oPiRzVa3Gy,0.595,0.617,-10.455,0.117,0.0343,0.000135,0.383,0.823,85.387
64,Fight The Power,Public Enemy,spotify:track:26zWdOUpB6P9E9OtQQc0qp,0.798,0.586,-13.001,0.255,0.00556,2.34e-06,0.473,0.381,105.979
65,Once in a Lifetime - 2005 Remaster,Talking Heads,spotify:track:38Ngied9rBORlAbLYNCl4k,0.644,0.919,-6.289,0.0561,0.181,0.134,0.622,0.871,117.459
66,Paranoid Android,Radiohead,spotify:track:0LTZD4vTsp0EN1wXatc9IR,0.328,0.762,-8.651,0.0476,0.0342,0.00876,0.198,0.274,125.75
67,Whole Lotta Love - Remaster,Led Zeppelin,spotify:track:49Y7HyMsxQegZqry19Ev9N,0.401,0.893,-11.171,0.437,0.0617,0.0391,0.164,0.406,87.979
68,Alright,Kendrick Lamar,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,-5.974,0.238,0.0742,0.0,0.0827,0.558,110.034
69,House of the Rising Sun,The Animals,spotify:track:3XC7Jd6SfrQYKZJ6inyRHK,0.316,0.484,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363
70,Walk on the Wild Side,Lou Reed,spotify:track:0EFEkt29P7Icr7dO4vN6yk,0.564,0.262,-19.746,0.105,0.652,0.000204,0.0896,0.376,104.5
71,Hotel California,Eagles,spotify:track:1yFTRoAbHkziFCd8WP3Fv4,0.55,0.593,-7.619,0.0258,0.00511,0.00127,0.106,0.543,147.617
72,99 Problems,JAY-Z,spotify:track:1l6DvDFssUqMnsFJNFnrRJ,0.494,0.887,-4.297,0.398,0.00661,0.0,0.103,0.548,89.554
73,Dancing On My Own,Robyn,spotify:track:7lItUx11Vl9heRR9H68h2M,0.687,0.865,-4.663,0.0349,0.0743,0.225,0.0966,0.261,117.015
74,Formation,Beyoncé,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,0.896,0.621,-6.857,0.237,0.00532,0.0,0.196,0.818,121.966
75,Let's Stay Together,Al Green,spotify:track:00P1T28MyzQJbj3tn9tTUp,0.762,0.244,-18.114,0.0551,0.388,0.0137,0.0663,0.558,101.57
76,Jumpin' Jack Flash,The Rolling Stones,spotify:track:5FMlUJ6wd2aN0lkdlRrEtH,0.575,0.909,-8.003,0.0654,0.0582,0.238,0.0724,0.693,137.335
77,All My Friends,LCD Soundsystem,spotify:track:2Ud3deeqLAG988pfW0Kwcl,0.701,0.788,-5.611,0.0425,0.148,0.625,0.0977,0.795,142.584
78,California Dreamin',The Mamas & The Papas,spotify:track:63rva3TBizr6x1Yp5uwKfD,0.554,0.667,-10.226,0.0342,0.628,0.0,0.0486,0.597,112.749
79,Blitzkrieg Bop - 2001 Remaster,Ramones,spotify:track:2hrF1aiAFGa7bWgt2qhyrc,0.535,0.784,-5.073,0.0484,0.00557,0.171,0.0852,0.962,176.241
80,Dancing In The Street,Various Artists,spotify:track:6TPl5DQrkBY2XIqIaFmxqi,0.543,0.807,-5.973,0.0359,0.0567,0.000858,0.32,0.685,126.157
81,Hound Dog,Elvis Presley,spotify:track:0rfZ0RTGqRSCQF1LcOuzEy,0.355,0.722,-9.338,0.0498,0.712,0.00309,0.805,0.946,176.708
82,Oblivion,Grimes,spotify:track:2RtNSM8cPCAOZ5bvQbW6y3,0.697,0.529,-8.838,0.0338,0.115,0.901,0.0895,0.486,155.974
83,I Want To Hold Your Hand - Remastered,The Beatles,spotify:track:3JueJBdcGQaEAaWqPamsQt,0.492,0.722,-6.348,0.0395,0.581,4.47e-06,0.354,0.926,130.97
84,All Along the Watchtower,Jimi Hendrix,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253
85,Nothing Compares 2 U,Sinéad O'Connor,spotify:track:4j6Hkosuk9xHcowXjtwefs,0.511,0.574,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917
86,How Soon Is Now? - 2011 Remaster,The Smiths,spotify:track:1YrnDTqvcnUKxAIeXyaEmU,0.398,0.93,-6.76,0.0615,0.000854,0.121,0.0874,0.725,190.818
87,Sweet Child O' Mine,Guns N' Roses,spotify:track:5r9AgnhkPQXeKG1w5rauDq,0.45,0.904,-7.736,0.046,0.0872,0.108,0.102,0.689,125.072
88,For What It's Worth,Buffalo Springfield,spotify:track:1qRA5BS78u3gME0loMl9AA,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883
89,The Weight - Remastered,The Band,spotify:track:0sDqo9UPzPUtu9wEkI3zRB,0.63,0.519,-10.997,0.0528,0.225,4.3e-06,0.0974,0.502,143.942
90,Runaway,Kanye West,spotify:track:0jOL63hLMeSCHTXPdFkniq,0.383,0.579,-3.765,0.103,0.198,0.00184,0.517,0.103,86.522
91,Ghost Town - Extended Version,The Specials,spotify:track:5jSQJ9n4kScujfTwDEtyC2,0.666,0.654,-11.691,0.0926,0.0547,0.702,0.341,0.898,73.687
92,Royals,Lorde,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878
93,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047
94,Suspicious Minds,Elvis Presley,spotify:track:0pQBojXn2OhjSKGdlyknvc,0.477,0.378,-11.225,0.03,0.0377,3.49e-06,0.453,0.688,116.393
95,Life On Mars? - 1999 Remastered Version,David Bowie,spotify:track:1C9NuEa1wOF15EOBuWaaxS,0.44,0.591,-7.859,0.0369,0.53,1.03e-05,0.171,0.373,121.398
96,Reach Out I'll Be There - Single Version / Mono,Four Tops,spotify:track:2VwRmAIjgmwNPDh4eMK1EH,0.619,0.803,-3.521,0.0317,0.0703,0.0,0.27,0.73,119.538
97,That's All Right Mama,Elvis Presley,spotify:track:38xhKLmi4SqnKMZy4ySBkD,0.649,0.473,-7.875,0.0324,0.73,4.92e-05,0.176,0.658,105.048
98,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,spotify:track:1qvY84PQZYJ6ZLhQ9DEl2R,0.825,0.812,-4.663,0.108,0.319,4.58e-05,0.267,0.847,108.352
99,Wonderwall,Oasis,spotify:track:5bj4hb0QYTs44PDiwbI5CS,0.413,0.85,-5.593,0.0362,0.00228,0.0,0.124,0.481,174.423
100,Heroin,The Velvet Underground,spotify:track:2SdDQZ4WupgDZP6eykOHHY,0.209,0.79,-10.12,0.0956,0.29,0.798,0.0999,0.251,145.233
101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,spotify:track:3LUHtV6F7IHAOognkvcEKv,0.35,0.573,-11.34,0.0317,0.741,2.03e-05,0.171,0.562,163.654
102,Thunder Road,Bruce Springsteen,spotify:track:556BL7XJ7PFXX8r3ozKYVa,0.374,0.606,-10.836,0.0347,0.667,1.23e-06,0.25,0.649,140.267
103,One,U2,spotify:track:3PY7bg1gPZIurkWnRguKUF,0.544,0.542,-8.624,0.0294,0.268,0.00197,0.114,0.339,90.472
104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,spotify:track:0zggnUZPh8kg69Jm7w7zZs,0.68,0.632,-9.642,0.0469,0.027,0.868,0.146,0.863,125.894
105,The Tracks Of My Tears - Single Version / Mono,Stevie Wonder,spotify:track:03uYIIUyvxk5kiCSltOTcZ,0.521,0.386,-7.72,0.0292,0.727,0.0,0.33,0.709,95.793
106,Yesterday - Remastered,The Beatles,spotify:track:1e0hllQ23AG0QGFgezgLOq,0.332,0.179,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529
107,Dancing Queen,ABBA,spotify:track:01iyCAUm8EvOFqVWYJ3dVX,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804
108,Summertime Blues,Eddie Cochran,spotify:track:2wwRSaZgshcHSvGzWryUIi,0.721,0.82,-10.32,0.0448,0.387,0.000326,0.198,0.966,155.968
109,This Charming Man - 2011 Remaster,The Smiths,spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,0.611,0.846,-5.9,0.0436,0.00509,0.0,0.0784,0.751,103.912
110,Blue Suede Shoes,Various Artists,spotify:track:1EJovYCU4hrSNlnExSqGnK,0.516,0.665,-8.206,0.034,0.247,0.000986,0.191,0.965,168.795
111,Good Times,CHIC,spotify:track:0G3fbPbE1vGeABDEZF0jeG,0.87,0.657,-7.32,0.0522,0.149,0.0102,0.053,0.893,110.596
112,Pyramids,Frank Ocean,spotify:track:0rbK15g3UsDTVy1EuwgKYz,0.4,0.65,-6.104,0.0466,0.0118,7.62e-05,0.791,0.15,107.989
113,My Girl - Single Version/Mono,Various Artists,spotify:track:4jfmXzc1eCFIVvIVAkH4Fo,0.571,0.593,-4.75,0.0453,0.558,0.0,0.257,0.572,105.014
114,Paint It Black,The Rolling Stones,spotify:track:78Az0Z1vNJgqv9QSB0ULLV,0.504,0.845,-7.799,0.0938,0.0139,0.0419,0.359,0.736,159.508
115,Video Games,Lana Del Rey,spotify:track:0fBSs3fRoh1yJcne77fdu9,0.236,0.249,-9.595,0.0348,0.811,1e-06,0.087,0.181,72.847
116,Rehab,Amy Winehouse,spotify:track:19z17doSqEhhm4aidrUHIB,0.42,0.873,-2.963,0.0685,0.0408,2.17e-06,0.568,0.728,72.858
117,Rapper's Delight - Long Version,Various Artists,spotify:track:0RxphrRef802DdWKfTZiVG,0.847,0.828,-8.51,0.296,0.385,0.0,0.393,0.884,111.045
118,The Sound of Silence - Electric Version,Simon & Garfunkel,spotify:track:2YplrdHMBoRdnHgMeHEwHm,0.44,0.466,-9.712,0.0284,0.17,1.03e-06,0.118,0.543,107.744
119,Fortunate Son,Creedence Clearwater Revival,spotify:track:7I2lPuuiOkpKtZlhr4zUpT,0.648,0.678,-7.461,0.0392,0.221,0.00456,0.143,0.667,132.729
120,Papa's Got A Brand New Bag - Pt. 1,Various Artists,spotify:track:3l1A0dujoxMkucGkNuq2Bu,0.761,0.787,-5.672,0.104,0.542,0.148,0.0826,0.89,130.311
121,Bridge over Troubled Water,Simon & Garfunkel,spotify:track:5p9CQanQtvRtss7e4MiEGe,0.316,0.199,-14.099,0.0275,0.846,0.000649,0.121,0.233,82.814
122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,spotify:track:2mKsPUojh602HvSeNt04CB,0.649,0.673,-9.35,0.0638,0.249,0.0351,0.726,0.587,78.535
123,Proud Mary,Creedence Clearwater Revival,spotify:track:2IpMp3t9JrTiyrEVy2WlbU,0.699,0.641,-7.564,0.0289,0.13,0.000218,0.0601,0.728,120.745
124,Every Breath You Take - Remastered 2003,The Police,spotify:track:5C0LFQARavkPpn7JgA4sLk,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0701,0.74,117.401
125,Maybellene - Single Version,Chuck Berry,spotify:track:0cSXmUJMM7RNgkjaFblWPt,0.757,0.761,-10.692,0.139,0.772,0.0,0.191,0.771,118.181
126,A Whiter Shade Of Pale,Various Artists,spotify:track:4pMhwgF4a3R61AjEc9AbEh,0.305,0.548,-8.839,0.0336,0.65,0.000546,0.184,0.36,74.586
127,Midnight City,M83,spotify:track:4kO7mrAPfqIrsKwUOK5BFx,0.507,0.729,-5.399,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013
128,Losing My Edge,LCD Soundsystem,spotify:track:1XlDNpWy8dyEljyRd0RC2J,0.769,0.959,-8.717,0.0634,0.000208,0.631,0.331,0.893,116.168
129,I'm So Lonesome I Could Cry - Single Version,Hank Williams,spotify:track:3l49MeO0nNZhBj1IfYWB5w,0.667,0.216,-12.918,0.0298,0.888,0.0025,0.132,0.659,111.088
130,Eight Miles High,The Byrds,spotify:track:5v3utF8InHZKd8JZJK5rCx,0.364,0.768,-10.492,0.0757,0.21,0.136,0.503,0.37,130.602
131,Born Slippy (Nuxx),Underworld,spotify:track:1zsDbmrf4ZkjW5hsSsaDjO,0.576,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042
132,Great Balls Of Fire,Various Artists,spotify:track:4S9WWr42OEWNbA7SVt9xEY,0.563,0.508,-15.044,0.0638,0.416,0.0,0.526,0.849,79.436
133,Green Onions,Booker T. & the M.G.'s,spotify:track:6KKcey1w86oP0qxN8frbfD,0.788,0.38,-15.179,0.0346,0.811,0.906,0.102,0.892,138.205
134,Maps,Yeah Yeah Yeahs,spotify:track:2hxV5yGCr1nIp5bQBxXL13,0.523,0.939,-5.972,0.0619,0.000803,0.201,0.544,0.164,119.839
135,Umbrella,Rihanna,spotify:track:2Y2ud3awMZHDxOCpDebiv3,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
136,She Loves You - Remastered,The Beatles,spotify:track:3MbjEDPm5qtuJxiC86PWKy,0.391,0.87,-5.939,0.0437,0.218,0.0,0.154,0.924,75.546
137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:5cP52DlDN9yryuZVQDg3iq,0.704,0.834,-7.131,0.0358,0.0291,0.00492,0.147,0.923,103.555
138,Tangled up in Blue,Bob Dylan,spotify:track:6Vcwr9tb3ZLO63F8DL8cqu,0.421,0.661,-13.126,0.0433,0.414,1.16e-06,0.0962,0.554,100.965
139,Maggie May,Rod Stewart,spotify:track:2LpirOWiA4eslLRuPpQT7V,0.605,0.574,-10.536,0.0377,0.559,0.113,0.0684,0.543,129.449
140,Will You Still Love Me Tomorrow,Various Artists,spotify:track:1tbqS3srsMbxzCZqTWuq1B,0.574,0.44,-7.847,0.0314,0.654,3.36e-05,0.302,0.648,136.927
141,Seasons (Waiting On You),Future Islands,spotify:track:41X9To0bQ4fpoSRri4NHiI,0.498,0.721,-5.232,0.0282,0.136,0.7,0.0933,0.589,140.027
142,Creep,Radiohead,spotify:track:3HfB5hBU0dmBt8T0iCmH42,0.532,0.344,-13.057,0.035,0.00563,0.000473,0.115,0.126,91.834
143,Be-Bop-A-Lula,Gene Vincent,spotify:track:0TMrV95mP7sDlvbE4iVfKP,0.607,0.561,-10.099,0.0425,0.421,0.0,0.298,0.841,127.638
144,Paranoid,Black Sabbath,spotify:track:3L8WgDYS5TtwbyxOPSAiFf,0.418,0.668,-11.297,0.082,0.000143,0.00113,0.173,0.379,162.663
145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie,spotify:track:5XJ1J9QPxaOzdpkGxKU4lA,0.662,0.633,-7.793,0.0433,0.0078,0.0233,0.0689,0.657,115.007
146,Kashmir - 1990 Remaster,Led Zeppelin,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,0.48,0.536,-11.166,0.0427,0.488,4.22e-05,0.155,0.581,80.617
147,Walk This Way (feat. Aerosmith),Run–D.M.C.,spotify:track:6qUEOWqOzu1rLPUPQ1ECpx,0.761,0.711,-7.989,0.0604,0.0174,0.000101,0.0652,0.947,105.448
148,Like a Prayer,Madonna,spotify:track:2v7ywbUzCgcVohHaKUcacV,0.66,0.629,-12.359,0.0387,0.432,7.3e-05,0.172,0.324,111.926
149,Marquee Moon - 2003 Remaster,Television,spotify:track:3MWdMCAIFPzcIUdiEi8Pao,0.494,0.657,-7.543,0.0397,0.0632,0.449,0.0849,0.737,118.194
150,Hotline Bling,Drake,spotify:track:6nmz4imkDcmtwMjocAzFSx,0.896,0.623,-8.008,0.0571,0.00257,0.000258,0.039,0.585,134.962
151,Live Forever,Oasis,spotify:track:6etTGUYDxGHcqHYI4xBr1w,0.143,0.781,-5.442,0.0354,1.26e-05,7.09e-06,0.371,0.229,90.063
152,Time to Pretend,MGMT,spotify:track:4iG2gAwKXsOcijVaVXzRPW,0.438,0.94,-3.249,0.0452,8.74e-05,0.0777,0.3,0.421,100.99
153,When a Man Loves a Woman,Percy Sledge,spotify:track:51FpzuGkRYXFgsE2zXt9av,0.516,0.15,-20.41,0.0272,0.13,0.0755,0.122,0.205,97.398
154,Brown Sugar,The Rolling Stones,spotify:track:6QXZVvqweO3l0NXcACcAVn,0.65,0.831,-6.721,0.031,0.107,0.00032,0.0773,0.965,128.56
155,"Over the Rainbow (From ""The Wizard of Oz"")",Harold Arlen,spotify:track:7cOQppvulvrcnqeVk1y6WC,0.244,0.0447,-21.155,0.0409,0.912,0.000137,0.15,0.226,81.165
